"SynchronousMachine:
ID","SynchronousMachine:
VoltRegStatus","SynchronousMachine:
Description","SynchronousMachine:
InternalId","SynchronousMachine:
Name","SynchronousMachine:
Parent","SynchronousMachine:
ObjectType","SynchronousMachine:
RegulatingCondEqRegulatesTerminal:
Terminal:
ID","Terminal:
InternalId","Terminal:
Name","Terminal:
Parent","Terminal:
ObjectType"
_3e1ee8d1-c8a8-41c7-b6f3-b6de4d91b873,Fixed Voltage Regulation,01AMD-U1,751225,UN-01,_693c043f-b157-4db5-afb1-6540a25387b0,SynchronousMachine,_ca18c14f-9036-435f-9ff9-42bd0f962975,751226,T1,_3e1ee8d1-c8a8-41c7-b6f3-b6de4d91b873,Terminal
_db3b0254-8a6d-4fb1-be4d-baba089a5b2d,Fixed Voltage Regulation,01AMD-U2,751227,UN-02,_693c043f-b157-4db5-afb1-6540a25387b0,SynchronousMachine,_ad958373-af38-4166-86a5-ef17831581e6,751228,T1,_db3b0254-8a6d-4fb1-be4d-baba089a5b2d,Terminal
_b0a4f5be-3d25-4b11-aba0-0307e9d91841,Fixed Voltage Regulation,01AMD-U3,751229,UN-03,_693c043f-b157-4db5-afb1-6540a25387b0,SynchronousMachine,_7de67787-2931-4b31-b641-3e238953ca4e,751230,T1,_b0a4f5be-3d25-4b11-aba0-0307e9d91841,Terminal
_6c8a2f35-27e1-4cf3-ae6c-cc68b5e7c8b7,Fixed Voltage Regulation,01ARA-U1,758581,UN-01,_33844c00-b9a8-4ed9-9492-f145e7564f1e,SynchronousMachine,_40d7e828-3c47-4eb7-a5e5-53f16efca1f8,758582,T1,_6c8a2f35-27e1-4cf3-ae6c-cc68b5e7c8b7,Terminal
_2ea323ec-6972-4786-9e9c-57bb556bacd1,Fixed Voltage Regulation,01ATE-U1,761386,UN-01,_9bab7977-fa8f-4528-a114-c009a69c6a47,SynchronousMachine,_b0a46b0d-7baf-4784-a796-e2307ae30ea3,761387,T1,_2ea323ec-6972-4786-9e9c-57bb556bacd1,Terminal
_98118340-a761-44e4-8fe1-944932e60e9b,Fixed Voltage Regulation,01COA-U1,775345,UN-01,_9425b4d8-d4f4-457b-a731-5ad4bf9fe465,SynchronousMachine,_37c81a6e-d45d-4bc4-85bf-257e4d14108d,775346,T1,_98118340-a761-44e4-8fe1-944932e60e9b,Terminal
_693fa8db-f463-47d5-88d0-05b90da51310,Fixed Voltage Regulation,01CRU-U1,780980,UN-01,_082fbee0-c612-4a42-9076-f8d29574c8a9,SynchronousMachine,_84600fdf-4ec6-4757-9853-f9448050bda8,780981,T1,_693fa8db-f463-47d5-88d0-05b90da51310,Terminal
_715784dd-bced-45db-b036-74e6842b65e0,Fixed Voltage Regulation,01CTT-U1,783991,UN-01,_c92cd47c-99de-43a8-ac99-eda5afdeb4b1,SynchronousMachine,_0ac116b1-9ed0-4759-b7a6-bf7870e6a0ce,783992,T1,_715784dd-bced-45db-b036-74e6842b65e0,Terminal
_a3024412-6c5d-4cb9-9275-d6586f9ff2e7,Fixed Voltage Regulation,01CYO-U1,792354,UN-01,_fcdffa1e-1673-4ba6-9331-44b576cf5073,SynchronousMachine,_bcb98cb9-02fc-46b3-801e-2e785841667f,792355,T1,_a3024412-6c5d-4cb9-9275-d6586f9ff2e7,Terminal
_c7461a43-5b2a-4a33-b186-0c43b7f087b5,Fixed Voltage Regulation,01CYO-U2,792356,UN-02,_fcdffa1e-1673-4ba6-9331-44b576cf5073,SynchronousMachine,_f2b5fc12-f85a-4631-8d57-7e63f7dac678,792357,T1,_c7461a43-5b2a-4a33-b186-0c43b7f087b5,Terminal
