"TransformerWinding:
ID","TransformerWinding:
InternalId","TransformerWinding:
Name","TransformerWinding:
Parent","TransformerWinding:
ObjectType","BaseVoltage:
Path","BaseVoltage:
InternalId","BaseVoltage:
Name","TransformerWinding:
ConductingEquipmentUsesABaseVoltage:
BaseVoltage:
ID","BaseVoltage:
Parent","BaseVoltage:
ObjectType"
_a842e159-ff8f-4bcc-9a3a-5931fb19efb8,748941,Alta,_fd10668d-e3c2-4277-ac77-57bd7a2abf03,TransformerWinding,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_b0b96dc7-e2ec-4f16-b6b6-2bc0af7b8e8f,748943,Baja,_fd10668d-e3c2-4277-ac77-57bd7a2abf03,TransformerWinding,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_e5036ba5-3cd6-4906-af18-04589d2862b3,748947,Alta,_34bad6fd-c041-4555-b16a-98e22dcc1e5d,TransformerWinding,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_c7afb31a-8bec-49fb-ba14-9597525bf96c,748949,Baja,_34bad6fd-c041-4555-b16a-98e22dcc1e5d,TransformerWinding,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_f1533963-9fec-4e57-a780-1084b069e6dc,749703,Alta,_20f67bd5-17f9-443d-b47f-6d8ac84c32fa,TransformerWinding,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_67406417-63cd-4eaf-8405-c2b9a16ebca7,749706,Baja,_20f67bd5-17f9-443d-b47f-6d8ac84c32fa,TransformerWinding,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_08d115f8-5120-4d2b-ab18-7f2cfa0086c3,749955,Alta,_425012ba-c6b2-49f2-91d0-6c7ab344b05c,TransformerWinding,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_ab32615e-2d31-431b-9d48-1717e659dd9a,749957,Baja,_425012ba-c6b2-49f2-91d0-6c7ab344b05c,TransformerWinding,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_5b95dc6f-1e07-4fbe-8dce-7962a9139bc7,749960,Alta,_a92edc41-8ebc-400a-b514-6941cd83a4f3,TransformerWinding,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_d9bc859c-eba7-40ac-95df-af292cfa8395,749962,Baja,_a92edc41-8ebc-400a-b514-6941cd83a4f3,TransformerWinding,Network/.Base Voltages/Base 34.5,590833,Base 34.5,_7dde2c76-fed1-4a2d-a4af-f360553c43f3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_ceaf2333-64fa-4954-8482-559bd47daa70,749965,Alta,_bef2e7a4-5d98-489a-bea2-acc565ac0c3e,TransformerWinding,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_d5f88a9f-9511-49f3-9199-15171a04e134,749967,Baja,_bef2e7a4-5d98-489a-bea2-acc565ac0c3e,TransformerWinding,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_f8abdfed-7569-4756-9a1e-5468f77f0219,750479,Alta,_56a12bb4-6331-48c3-9d6c-f8d6aab092bd,TransformerWinding,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_f8ed3d96-7bee-44a2-b5a9-d7038e062628,750481,Baja,_56a12bb4-6331-48c3-9d6c-f8d6aab092bd,TransformerWinding,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_ccda1244-868c-48bb-82bb-b89b98cf320f,750485,Alta,_6b292d3b-9bd8-40cc-9d22-d04c3b35c583,TransformerWinding,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
